Name,OldPrice,Price,ProductUrl,Region,IsInStockName,OldPrice,Price,ProductUrl,Region,IsInStock
Fortnite FNT0163 Машина Quadcrasher,3669,1989.00,https://www.toy.ru/catalog/mashinki_iz_multfilmov/fortnite_fnt0163_mashina_quadcrasher/,Санкт-Петербург,True
Welly 43688 Велли Модель машины 1:34-39 Volvo XC90,,509.00,https://www.toy.ru/catalog/modeli_mashin/welly_43688_velli_model_mashiny_1_34_39_volvo_xc90/,Санкт-Петербург,True
Welly 43645 Велли модель машины 1:34-39 LADA PRIORA (в ассортименте),,479.00,https://www.toy.ru/catalog/modeli_otechestvennykh_mashin/welly_43645_velli_model_mashiny_1_34_39_lada_priora/,Санкт-Петербург,True
Welly 43644 Велли модель машины 1:34-39 LADA 2107 (в ассортименте),,579.00,https://www.toy.ru/catalog/modeli_otechestvennykh_mashin/welly_43644_velli_model_mashiny_1_34_39_lada_2107/,Санкт-Петербург,True
Welly 43779 Велли Модель машины 1:34-39 BMW 507,,519.00,https://www.toy.ru/catalog/modeli_mashin/welly_43779_velli_model_mashiny_1_34_39_bmw_507/,Санкт-Петербург,True
Mattel Hot Wheels GWN97 Хот Вилс Коллекционные машинки в мотивационном наборе,,2599.00,https://www.toy.ru/catalog/modeli_mashin/mattel_hot_wheels_gwn97_khot_vils_kollektsionnye_mashinki_v_motivatsionnom_nabore/,Санкт-Петербург,True
Welly 43701 модель машины 1:34-39 Ford F-150,,509.00,https://www.toy.ru/catalog/modeli_mashin/welly_43701_model_mashiny_1_34_39_ford_f_150/,Санкт-Петербург,True
Welly 43727 Велли Модель машины 1:34-39 LADA Vesta,,389.00,https://www.toy.ru/catalog/modeli_otechestvennykh_mashin/welly_43727_velli_model_mashiny_1_34_39_lada_vesta/,Санкт-Петербург,True
"MicroMachines MMW0034 Игрушка ""Стройка""",,2299.00,https://www.toy.ru/catalog/mininabory/micromachines_mmw0034_igrushka_stroyka/,Санкт-Петербург,True
Welly 42386 Велли Модель машины 1:34-39 LADA 4x4,,579.00,https://www.toy.ru/catalog/modeli_otechestvennykh_mashin/welly_42386_velli_model_mashiny_1_34_39_lada_4x4/,Санкт-Петербург,True
Welly 42380FC Велли Модель машины 1:34-39 УАЗ 31514 Лесная Охрана,,579.00,https://www.toy.ru/catalog/modeli_otechestvennykh_mashin/welly_42380fc_velli_model_mashiny_1_34_39_uaz_31514_lesnaya_okhrana/,Санкт-Петербург,True
